prices,Address,Beds
"€130,000"," Aylroe, Kildysart, Clare",2 beds
"€325,000"," 4 Bluebell Road, Bluebell, Dublin 12",3 beds
"€2,300,000"," 37 Bushy Park Road, Rathgar,   Dublin 6",4 beds
"€500,000"," 7 Dromard Terrace, Sandymount, Dublin 4",3 beds
"€3,750,000"," Brentwood,10 Sydenham Road, Dundrum, Dublin 14",6 beds
"€750,000"," 31 Mapas Road, Dalkey,   County Dublin",3 beds
"AMV €235,000 "," 5 The Range,Donadea,Co. Kildare,W91 P7XH",2 beds
"€425,000"," Rooks Rest, , Rathangan, Kildare",5 beds
"€275,000"," Brookfield House, Tincurry, Cahir, Co. Tipperary",6 beds
"€415,000"," 66 Hunters Avenue, Ballycullen, Dublin 24",3 beds
"€279,000"," 33 College Gate,Summerville Avenue,South Circular Road,V94 Y5DA",3 beds
"€290,000"," 20 Hollymount, Church Road, Raheen, Raheen, Limerick",4 beds
"€390,000"," 92 Log Na GCapall,South Circular Road,Limerick,V94 NP7K",4 beds
"€450,000"," 8 Renmore Park, Renmore, Galway City",4 beds
"€495,000"," St Jude's, Ballymore Eustace, Naas, Co Kildare",3 beds
"€310,000"," 27 Belard Manor,Glenealy,County Wicklow,A67 PX47",3 beds
"€315,000"," Chez Nous, Coolagh Road, , Dungarvan, Waterford",3 beds
"€350,000"," Sunnyside Hill Terrace , Bandon, Cork",3 beds
"€285,000"," 29 Carraig Mor,Lackagh,Co. Galway,H65 AE73",4 beds
"€445,000"," 7 Abbywell, Chapel Lane, , Malahide, Dublin",2 beds
"€195,000"," Ross,Kilbaha,Kilrush,Co. Clare,V15 CC61",4 beds
"€235,000"," 28 Priory Square, St Raphael's, Celbridge, Kildare, W23 VN56",2 beds
"€2,500,000"," ""Alma"", Park, Wexford Town, Wexford",8 beds
"€895,000"," 45 Hyde Road, Dalkey, Co. Dublin",3 beds
"€375,000"," 26 Sullivan Street, Stoneybatter, Dublin 7",2 beds
"€349,950"," 43 Balfe Avenue, Walkinstown,   Dublin 12",3 beds
"€220,000"," 30 Middletown Valley, Riverchapel, Courtown, Wexford",4 beds
"€845,000"," 37 Leopardstown Avenue,Blackrock,Co Dublin,A94 X227",4 beds
"€375,000"," Glendaniel, Rahan Road, Tullamore, Offaly",133m 2
"€375,000"," 9 Coolmine Cottages, Mulhuddart, Dublin 15",3 beds
"€745,000"," 24 Orwell Road, Rathgar, Dublin 6",4 beds
"€330,000"," 14, Kiltipper Drive, Aylesbury , Tallaght, Dublin 24",3 beds
"€235,000"," Glenbrook, Castletownsend, Cork",3 beds
"€505,000"," Skryne, Tara, Meath",5 beds
"€310,000"," 8 Oaktree Green, Cunnaberry Hill, Kildare, Co. Kildare",3 beds
"€260,000"," 33 Ard Mor Drive, Tallaght,   Dublin 24",3 beds
"€300,000"," 15 Brookhaven Lawn, Blanchardstown, Dublin 15",3 beds
"€1,150,000"," Lisieux, 16 The Rise, Barnhill Road, Dalkey, County Dublin",4 beds
"€175,000"," Mary Street South, Dundalk, Louth",2 beds
"€270,000"," 134 Silversprings Lawn, Mayfield, Cork",3 beds
"€525,000"," 45 CHURCH AVENUE, Drumcondra, Dublin 9",2 beds
"€1,175,000"," Garinish,19A Greenfield Park,Donnybrook,Dublin 4,D04 K6F6",3 beds
"€375,000"," 23 Fleming Road, Drumcondra, Dublin 9",2 beds
"€225,000"," No. 46 Meadow Park, Westport Road, Castlebar, Mayo",3 beds
"€495,000"," 1 Clarence Place, Summerhill North, Cork City, Cork",6 beds
"€150,000"," Cappagh, Glenmore, Kilkenny",4 beds
"€410,000"," 229 The Avenue, Petitswood Manor, Mullingar, Westmeath",4 beds
"€295,000"," 'St Teresa's' Mail Coach Road, Sligo City, Sligo",3 beds
"€450,000"," 65 WALSH ROAD, Drumcondra, Dublin 9",3 beds
"€265,000"," 20 Birchwood Drive, Springfield, Tallaght, Dublin 24",3 beds
"€189,950"," 35 The Millrace,Burrin Road,Carlow,R93 X6E4",3 beds
"AMV €500,000 "," 2 Harcourt Mews, South City Centre, Dublin 2",2 beds
"€550,000"," 13 Silver Pines, Stillorgan, County Dublin",3 beds
"€925,000"," The Sheldon, The Gallops, Clonee, Dublin 15",5 beds
"€570,000"," 62 Grosvenor Court , Clontarf, Dublin 3",3 beds
"€395,000"," 3 Windele Road, Drumcondra, Dublin 9",2 beds
"€475,000"," 19 Cairnbrook Manor, Carrickmines, Dublin 18",2 beds
"€199,000"," Culmore,Kilkelly,Co Mayo,F35 DD21",6 beds
"€610,000"," 7 Heathervue , Greystones, Wicklow",4 beds
"€175,000"," 26 Butler Avenue, Thurles, Tipperary",2 beds
