,prices,Address,Beds
0,130000," Aylroe, Kildysart, Clare",2
1,325000," 4 Bluebell Road, Bluebell, Dublin 12",3
2,2300000," 37 Bushy Park Road, Rathgar,   Dublin 6",4
3,500000," 7 Dromard Terrace, Sandymount, Dublin 4",3
4,3750000," Brentwood,10 Sydenham Road, Dundrum, Dublin 14",6
5,750000," 31 Mapas Road, Dalkey,   County Dublin",3
6,2350000," 5 The Range,Donadea,Co. Kildare,W91 P7XH",2
7,425000," Rooks Rest, , Rathangan, Kildare",5
8,275000," Brookfield House, Tincurry, Cahir, Co. Tipperary",6
9,415000," 66 Hunters Avenue, Ballycullen, Dublin 24",3
10,279000," 33 College Gate,Summerville Avenue,South Circular Road,V94 Y5DA",3
11,290000," 20 Hollymount, Church Road, Raheen, Raheen, Limerick",4
12,390000," 92 Log Na GCapall,South Circular Road,Limerick,V94 NP7K",4
13,450000," 8 Renmore Park, Renmore, Galway City",4
14,495000," St Jude's, Ballymore Eustace, Naas, Co Kildare",3
15,310000," 27 Belard Manor,Glenealy,County Wicklow,A67 PX47",3
16,315000," Chez Nous, Coolagh Road, , Dungarvan, Waterford",3
17,350000," Sunnyside Hill Terrace , Bandon, Cork",3
18,285000," 29 Carraig Mor,Lackagh,Co. Galway,H65 AE73",4
19,445000," 7 Abbywell, Chapel Lane, , Malahide, Dublin",2
20,195000," Ross,Kilbaha,Kilrush,Co. Clare,V15 CC61",4
21,235000," 28 Priory Square, St Raphael's, Celbridge, Kildare, W23 VN56",2
22,2500000," ""Alma"", Park, Wexford Town, Wexford",8
23,895000," 45 Hyde Road, Dalkey, Co. Dublin",3
24,375000," 26 Sullivan Street, Stoneybatter, Dublin 7",2
25,349950," 43 Balfe Avenue, Walkinstown,   Dublin 12",3
26,220000," 30 Middletown Valley, Riverchapel, Courtown, Wexford",4
27,845000," 37 Leopardstown Avenue,Blackrock,Co Dublin,A94 X227",4
29,375000," 9 Coolmine Cottages, Mulhuddart, Dublin 15",3
30,745000," 24 Orwell Road, Rathgar, Dublin 6",4
31,330000," 14, Kiltipper Drive, Aylesbury , Tallaght, Dublin 24",3
32,235000," Glenbrook, Castletownsend, Cork",3
33,505000," Skryne, Tara, Meath",5
34,310000," 8 Oaktree Green, Cunnaberry Hill, Kildare, Co. Kildare",3
35,260000," 33 Ard Mor Drive, Tallaght,   Dublin 24",3
36,300000," 15 Brookhaven Lawn, Blanchardstown, Dublin 15",3
37,1150000," Lisieux, 16 The Rise, Barnhill Road, Dalkey, County Dublin",4
38,175000," Mary Street South, Dundalk, Louth",2
39,270000," 134 Silversprings Lawn, Mayfield, Cork",3
40,525000," 45 CHURCH AVENUE, Drumcondra, Dublin 9",2
41,1175000," Garinish,19A Greenfield Park,Donnybrook,Dublin 4,D04 K6F6",3
42,375000," 23 Fleming Road, Drumcondra, Dublin 9",2
43,225000," No. 46 Meadow Park, Westport Road, Castlebar, Mayo",3
44,495000," 1 Clarence Place, Summerhill North, Cork City, Cork",6
45,150000," Cappagh, Glenmore, Kilkenny",4
46,410000," 229 The Avenue, Petitswood Manor, Mullingar, Westmeath",4
47,295000," 'St Teresa's' Mail Coach Road, Sligo City, Sligo",3
48,450000," 65 WALSH ROAD, Drumcondra, Dublin 9",3
49,265000," 20 Birchwood Drive, Springfield, Tallaght, Dublin 24",3
50,189950," 35 The Millrace,Burrin Road,Carlow,R93 X6E4",3
51,5000000," 2 Harcourt Mews, South City Centre, Dublin 2",2
52,550000," 13 Silver Pines, Stillorgan, County Dublin",3
53,925000," The Sheldon, The Gallops, Clonee, Dublin 15",5
54,570000," 62 Grosvenor Court , Clontarf, Dublin 3",3
55,395000," 3 Windele Road, Drumcondra, Dublin 9",2
56,475000," 19 Cairnbrook Manor, Carrickmines, Dublin 18",2
57,199000," Culmore,Kilkelly,Co Mayo,F35 DD21",6
58,610000," 7 Heathervue , Greystones, Wicklow",4
59,175000," 26 Butler Avenue, Thurles, Tipperary",2
60,700000," Main Street, Rathdowney, Laois",3
61,395000," `Ardeeven`, Sligo Road, ., Ballaghaderreen, Co. Roscommon",5
62,420000," 9 Spencer Street North, North Strand, Dublin 3",3
63,299000," 4 Moy Elta Road, East Wall, Dublin 3",3
64,345000," 75 Caledon Road, East Wall, Dublin 3",3
65,698000," Whitebarn Road, Dublin 14, Dublin",3
66,175000," The Hawthorns, Roseleigh, Mooncoin, Co. Kilkenny",3
67,350000," 26 Landsdowne Valley Park, Drimnagh, Dublin 12",3
68,200000," 18 Highfield,Newtownshandrum,Charleville,Co. Cork,P56 WP27",3
69,385000," Coolnamuck Road, Carrickbeg, Carrick-on-Suir, Tipperary",4
70,148000," 29 Church Street, Templemore, Tipperary",4
71,600000," 19 Aranleigh Mount, Rathfarnham,   Dublin 14",4
72,180000," 47 Lakeview Drive, Lakeside, Kilkenny, Kilkenny",2
73,285000," 112 Beech Park Ballincollig Co. Cork, Ballincollig, Cork",3
74,440000," Dunlough,Robinstown,Co Meath,C15 FV08",4
75,795000," 57 Lower Dodder Road, Rathfarnham,   Dublin 14",3
76,699000," Gleann Aenghus, Gorey, Wexford",5
77,349000," 20A Cherryfield Lawn, Clonsilla, Dublin 15",4
78,385000," 12 Albert College Drive, Glasnevin, Dublin 9",3
79,175000," Cloncoe, Woodford, Galway",3
80,330000," 17 Ribh Road, Artane, Dublin 5",2
81,349500," Riverdale, Bridgetown, Clare",4
82,300000," Rose Cottage, Ballykillavane, Glenealy, Wicklow",2
83,489000," 52 Kilheale Drive ""The Oaks"", Kill, Kildare",4
84,214950," 21 An Glasan, Greenville, Enniscorthy, Co. Wexford",3
85,650000," 20 Cypress Park, Templeogue, Dublin 6W",4
86,395000," 65 The Elms, Newbridge, Kildare",4
87,280000," Knockane, Ballyclough, Mallow, Cork",4
88,495000," 1A Lomond Ave, Fairview, Dublin 3",3
89,175000," 1 Coolreagh, Killanny, Carrickmacross, Monaghan",3
90,220000," 44 Belvedere Hills, Mullingar, Westmeath",4
91,360000," 4 Drynam Walk, Drynam Hall, Kinsealy, Dublin",3
92,550000," Glendown, Dooneen, Kilmeaden, Waterford",5
93,289950," 48 Canterbrook, Navan, Meath",3
95,280000," 8 Gracemeadow Walk, Balbriggan, Dublin",3
96,530000," Greybrook, Silversprings Road, Tivoli, Cork",7
97,200000," 2 Station Road, Kildare Town, Kildare",3
98,2600000," 9 Lough Sillan Lodge,Shercock,Co. Cavan,A81 KW58",6
99,230000," 16 Spireview Rise, Johnstown, Navan, Meath",2
100,425000," 15 GROVE PARK ROAD, Glasnevin, Dublin 11",3
101,210000," 32 Tir an Choir, Tuam, Galway",3
102,425000," 10 Walkinstown Road, Walkinstown, Dublin 12",3
103,135000," 3 North Cross Lane, Youghal, East Cork",2
104,320000," 27 Castleland Park Drive , Balbriggan, Dublin",3
105,299000," 2 Park Avenue, Wexford Road, Arklow, Wicklow",4
106,1050000," 3 Oulton Road, Clontarf, Dublin 3",3
